city,state,key,lat,lng
Yakima,Washington,YakimaWashington,46.5923,-120.5496
Coral Springs,Florida,Coral SpringsFlorida,26.2702,-80.2591
Sterling Heights,Michigan,Sterling HeightsMichigan,42.5809,-83.0305
Mauldin,South Carolina,MauldinSouth Carolina,34.7866,-82.2997
Racine,Wisconsin,RacineWisconsin,42.7274,-87.8135
Stamford,Connecticut,StamfordConnecticut,41.1035,-73.5583
Elizabeth,New Jersey,ElizabethNew Jersey,40.6657,-74.1912
Kent,Washington,KentWashington,47.3887,-122.2128
Greenville,North Carolina,GreenvilleNorth Carolina,35.5956,-77.3768
Simi Valley,California,Simi ValleyCalifornia,34.2663,-118.749
Burlington,North Carolina,BurlingtonNorth Carolina,36.0762,-79.4687
Santa Clara,California,Santa ClaraCalifornia,37.3646,-121.968
Johnson City,Tennessee,Johnson CityTennessee,36.3406,-82.3803
Boulder,Colorado,BoulderColorado,40.0249,-105.2523
Bellingham,Washington,BellinghamWashington,48.7543,-122.4687
Fort Smith,Arkansas,Fort SmithArkansas,35.3493,-94.3695
Amherst,New York,AmherstNew York,43.0117,-78.7569
Lynchburg,Virginia,LynchburgVirginia,37.4003,-79.1909
Kenosha,Wisconsin,KenoshaWisconsin,42.5864,-87.8762
East Los Angeles,California,East Los AngelesCalifornia,34.0326,-118.1691
South Lyon,Michigan,South LyonMichigan,42.4614,-83.6526
Round Rock,Texas,Round RockTexas,30.5254,-97.6659
Berkeley,California,BerkeleyCalifornia,37.8723,-122.276
Billings,Montana,BillingsMontana,45.7889,-108.5509
Redding,California,ReddingCalifornia,40.5698,-122.365
Yuba City,California,Yuba CityCalifornia,39.1357,-121.6381
Duluth,Minnesota,DuluthMinnesota,46.7757,-92.1392
Pearland,Texas,PearlandTexas,29.5585,-95.3215
Leominster,Massachusetts,LeominsterMassachusetts,42.5209,-71.7717
Saginaw,Michigan,SaginawMichigan,43.4199,-83.9501
Iowa City,Iowa,Iowa CityIowa,41.6559,-91.5304
Arvada,Colorado,ArvadaColorado,39.8321,-105.1511
Seaside,California,SeasideCalifornia,36.6224,-121.8191
Kingsport,Tennessee,KingsportTennessee,36.5224,-82.5452
Smithtown,New York,SmithtownNew York,40.8662,-73.2164
Independence,Missouri,IndependenceMissouri,39.0871,-94.3503
Lehigh Acres,Florida,Lehigh AcresFlorida,26.612,-81.6388
Richardson,Texas,RichardsonTexas,32.9717,-96.7092
Rochester,Minnesota,RochesterMinnesota,44.0151,-92.4778
Gilroy,California,GilroyCalifornia,37.0047,-121.5856
El Monte,California,El MonteCalifornia,34.0739,-118.0291
Rock Hill,South Carolina,Rock HillSouth Carolina,34.9413,-81.025
Clearwater,Florida,ClearwaterFlorida,27.9788,-82.7624
Monroe,Louisiana,MonroeLouisiana,32.5183,-92.0775
Dover,Delaware,DoverDelaware,39.161,-75.5203
Carlsbad,California,CarlsbadCalifornia,33.1247,-117.2837
Norman,Oklahoma,NormanOklahoma,35.2335,-97.3471
Abilene,Texas,AbileneTexas,32.4543,-99.7384
Bloomington,Indiana,BloomingtonIndiana,39.1637,-86.5257
Texas City,Texas,Texas CityTexas,29.4128,-94.9658
Temecula,California,TemeculaCalifornia,33.4928,-117.1315
Utica,New York,UticaNew York,43.0961,-75.226
St. Cloud,Minnesota,St. CloudMinnesota,45.5339,-94.1718
St. George,Utah,St. GeorgeUtah,37.077,-113.577
West Jordan,Utah,West JordanUtah,40.6024,-112.0008
Costa Mesa,California,Costa MesaCalifornia,33.6667,-117.9135
Miami Gardens,Florida,Miami GardensFlorida,25.9433,-80.2426
Cambridge,Massachusetts,CambridgeMassachusetts,42.3759,-71.1185
Brandon,Florida,BrandonFlorida,27.9367,-82.3
Downey,California,DowneyCalifornia,33.9379,-118.1312
Coeur d'Alene,Idaho,Coeur d'AleneIdaho,47.704,-116.7933
Westminster,Colorado,WestminsterColorado,39.8837,-105.0624
Elgin,Illinois,ElginIllinois,42.0385,-88.3229
El Centro,California,El CentroCalifornia,32.7867,-115.5586
Waterloo,Iowa,WaterlooIowa,42.492,-92.3522
Lowell,Massachusetts,LowellMassachusetts,42.6389,-71.3217
Gresham,Oregon,GreshamOregon,45.5023,-122.4413
North Charleston,South Carolina,North CharlestonSouth Carolina,32.9067,-80.0722
San Buenaventura,California,San BuenaventuraCalifornia,34.2741,-119.2314
Inglewood,California,InglewoodCalifornia,33.9566,-118.3444
Pompano Beach,Florida,Pompano BeachFlorida,26.2428,-80.1312
Centennial,Colorado,CentennialColorado,39.5926,-104.8674
West Palm Beach,Florida,West Palm BeachFlorida,26.7469,-80.1316
Everett,Washington,EverettWashington,47.9524,-122.167
Santa Fe,New Mexico,Santa FeNew Mexico,35.6619,-105.9819
Richmond,California,RichmondCalifornia,37.9477,-122.339
Clovis,California,ClovisCalifornia,36.8277,-119.6838
The Woodlands,Texas,The WoodlandsTexas,30.1738,-95.5134
Pottstown,Pennsylvania,PottstownPennsylvania,40.2507,-75.6444
Jacksonville,North Carolina,JacksonvilleNorth Carolina,34.7287,-77.394
Broken Arrow,Oklahoma,Broken ArrowOklahoma,36.0365,-95.7809
Burlington,Vermont,BurlingtonVermont,44.4877,-73.2314
West Covina,California,West CovinaCalifornia,34.0555,-117.9112
Turlock,California,TurlockCalifornia,37.5053,-120.8587
Daly City,California,Daly CityCalifornia,37.6863,-122.4684
Eau Claire,Wisconsin,Eau ClaireWisconsin,44.82,-91.4951
Hillsboro,Oregon,HillsboroOregon,45.5272,-122.936
Sandy Springs,Georgia,Sandy SpringsGeorgia,33.9366,-84.3703
Sioux City,Iowa,Sioux CityIowa,42.4959,-96.3901
Chico,California,ChicoCalifornia,39.7575,-121.8152
Norwalk,California,NorwalkCalifornia,33.9069,-118.0829
Salisbury,Maryland,SalisburyMaryland,38.3755,-75.5867
Jurupa Valley,California,Jurupa ValleyCalifornia,34.001,-117.4706
Lewisville,Texas,LewisvilleTexas,33.0452,-96.9823
Highlands Ranch,Colorado,Highlands RanchColorado,39.5419,-104.9708
Davie,Florida,DavieFlorida,26.0789,-80.287
League City,Texas,League CityTexas,29.4874,-95.1087
Burbank,California,BurbankCalifornia,34.1879,-118.3235
San Mateo,California,San MateoCalifornia,37.5522,-122.3122
Spring Hill,Florida,Spring HillFlorida,28.4797,-82.53
El Cajon,California,El CajonCalifornia,32.8017,-116.9604
Rialto,California,RialtoCalifornia,34.1175,-117.3894
Bend,Oregon,BendOregon,44.0562,-121.3087
Columbia,Maryland,ColumbiaMaryland,39.2004,-76.859
Edison,New Jersey,EdisonNew Jersey,40.536,-74.3697
